soma_center_1,soma_center_2,soma_angle,soma_polar_angle,axon_bias_1,axon_bias_2,bias_angle,pc_ratio,center_bias_angle,labels_all
411,579,0.218034830549931,0.976324422838784+0.216311399072066i,0.76931151609613,0.638873846077513,41,0.350303560380958,27.2154206277289,SSp-ll
366,615,0.539213228238052,0.858112923537097+0.513461011624657i,-0.219441858628042,0.975625579144925,-76,0.699155362265246,71.7816105558011,SSp-ll
375,646,0.671006132324789,0.783196475179278+0.621774300905686i,0.936738685187394,0.350029478292032,21,0.66578128919901,17.9567012607862,SSp-ll
409,626,0.470893858980703,0.891163115601492+0.453683040669851i,-0.859898685840947,0.510464739319977,-30,1.2062089293172,122.324978528298,SSp-ll
396,583,0.263466541034917,0.965492993133661+0.260429031042632i,0.837463213369156,0.54649370193389,34,0.328578126834972,18.0312763657358,SSp-ll
356,633,0.682316554874748,0.776114000116266+0.630592625094466i,-0.915165263778993,-0.403078826003458,25,2.40249794291651,164.676933510266,SSp-ul
339,514,-0.286621242225453,0.959204567325331-0.282712925106413i,0.41949216177658,0.907758958208627,66,1.15581825825339,81.619657803586,SSp-ul
286,484,-0.94405342558385,0.586509812151843-0.809942121543021i,-0.278512945424328,-0.960432475102266,75,0.391045791634783,52.0811957595038,SSp-ul
291,466,-1.0169419343231,0.525969302289147-0.85050355263777i,0.713233341870821,0.700926672372924,46,0.416824450120024,102.767879262917,SSp-ul
322,500,-0.493941368919581,0.880471099922175-0.474099823035017i,-0.91586697749024,-0.401481854562435,25,0.261475995828534,128.028395135393,SSp-ul
346,553,0.107427953604656,0.994235164810302+0.107221439342287i,-0.695669084625155,-0.718362390925917,47,0.151998710402877,140.235726955241,SSp-ul
296,498,-0.702256931509007,0.763386285369115-0.645942241466174i,-0.8141317295383,-0.580680227800962,36,0.221702089543956,104.265241218464,SSp-ul
348,620,0.643501108793284,0.8+0.6i,0.0541014019810601,-0.998535446693648,-86,0.373334744730274,123.768601494203,SSp-ul
335,516,-0.278299659005111,0.961523947640823-0.274721127897378i,0.585951602297258,0.810346049392034,55,2.03529185060378,70.0751510677247,SSp-ul
310,504,-0.522403431716529,0.866622456874169-0.498964444866946i,0.281056527905398,0.959691214986238,75,0.284961767896892,103.608240131282,SSp-ul
309,598,0.711154711745867,0.75760869046168+0.652709025628525i,0.136838472228693,0.990593373952257,83,0.428014965554439,41.3888931424775,SSp-ul
329,501,-0.449430557471317,0.900694644221282-0.43445271074203i,-0.487844023235951,-0.872930815696732,62,0.861321100884312,93.4484995877732,SSp-ul
363,529,-0.108812204817245,0.994085790897867-0.108597607409011i,-0.98527320179697,0.17098747854959,-9,0.640375550696945,176.389241996993,SSp-ul
341,563,0.213204519389454,0.977357880408164+0.211592943181149i,-0.397679053674829,0.917524588372591,-66,0.791644390163138,101.217445737291,SSp-ul
333,563,0.231716841190451,0.973273559032993+0.22964881729992i,0.999937828164911,0.0111507759747928,2,1.09567249933175,12.6374913999642,SSp-ul
311,566,0.343969119723361,0.941423592781909+0.337226361593519i,0.9102983252215,-0.413952846467968,-23,0.401728676519137,44.16136837653,SSp-ul
315,592,0.613556145511917,0.817605639393119+0.575778619290929i,-0.938980614095404,-0.343970066071188,21,0.640950359726546,164.964759819562,SSp-ul
337,581,0.397079445224982,0.922194381828531+0.386726676250674i,-0.770523917877207,-0.637411085547749,41,0.15969096902771,163.151935899469,SSp-ul
337,619,0.691556950768112,0.770254023555834+0.637737202298916i,0.658475377795862,-0.752602270018233,-48,1.82693567783677,88.4395947360338,SSp-ul
305,468,-0.881398453766934,0.636072678831856-0.771629151369793i,0.221829162702579,0.975085546285387,78,0.829518154031172,127.683920200762,SSp-ul
347,517,-0.238113782410011,0.971784605540551-0.235870049888483i,-0.350184418750852,-0.936680774257766,71,1.23478716373902,96.8556806250302,SSp-ul
356,527,-0.133136327551648,0.991150442477876-0.132743362831858i,-0.311455492818469,0.950260741056477,-71,1.42424198566731,115.775116822029,SSp-ul
347,526,-0.154108116565426,0.988148826849317-0.153498846889214i,0.00256813400253368,-0.999996702338435,-89,0.805377122007891,81.0231119307786,SSp-ul
298,486,-0.803577978470427,0.694135570584232-0.719844295420685i,0.994317138827517,-0.10645857144383,-5,0.365382274199356,39.9304190660629,SSp-ul
339,535,-0.0735512904885398,0.99729632302441-0.0734849922228512i,-0.191068038462181,-0.981576795099708,80,3.06210161196117,96.8009417353696,SSp-ul
335,534,-0.0876866551295005,0.996157987955849-0.0875743286115032i,0.12591457179419,0.992041088166153,84,0.0918415017498895,87.7905010540688,SSp-ul
374,537,-0.038442590021188,0.999261174631314-0.0384331221012044i,-0.917234813078544,0.398346956404549,-22,0.596190044316319,158.727718822695,SSp-ul
362,541,-0.00847437340297062,0.999964092712604-0.00847427197214072i,-0.0600847907799218,0.998193276834168,-86,2.71384121597779,93.9302255321438,SSp-ul
369,525,-0.135170698649009,0.990878342383945-0.134759454564217i,-0.966426990937027,-0.256941376948913,16,1.28335049248557,157.366638091061,SSp-ul
324,549,0.0872777129494614,0.996193717496113+0.0871669502809099i,-0.561717023305826,0.827329429990522,-55,0.539095194864204,119.173980109846,SSp-ul
347,574,0.301225577862386,0.954973588715859+0.296690823678713i,-0.546426852610829,-0.837506832656202,58,0.9800580969664,140.381178066948,SSp-ul
340,661,0.891969605468326,0.627880281947033+0.778309932830177i,-0.843269750190944,0.537490584487675,-32,1.16769872104253,96.3809312567051,SSp-ul
297,512,-0.515072817018782,0.87025685507146-0.49259821985177i,0.720375851432435,0.693583904565983,45,1.88322956935018,73.4259784067811,SSp-ul
305,554,0.194240996181404,0.981194456491118+0.193021860293335i,0.416519802896006,0.909126643430646,66,0.816780636786273,54.2557484786297,SSp-ul
336,566,0.255182390620818,0.967617272396844+0.252421897147003i,-0.681434132106995,-0.731879446083566,48,0.500370414557993,147.576687074219,SSp-ul
323,599,0.625022719421498,0.81094982622436+0.585115697402386i,0.0927628265770316,0.995688233336841,86,0.460459451388065,48.8662655234676,SSp-ul
322,504,-0.453338695854563,0.89898986883727-0.437969423279695i,0.482939661352827,0.875653632147104,62,0.189656512393745,87.096821367673,SSp-ul
274,448,-1.26186558287115,0.304040173793197-0.952659211218683i,-0.699201164690808,0.714924982984241,-45,0.579213964607212,153.337479371715,SSp-m
250,470,-1.48765509490646,0.08304547985374-0.99654575824488i,0.691769608027821,-0.722118279376056,-45,1.67398796567626,39.0067107377336,SSp-m
229,503,-1.93797016061312,-0.358979079308869-0.93334560620306i,0.737299295346401,0.675566243296466,43,0.43520411953608,153.535648722278,SSp-m
176,511,-2.71385774120355,-0.909907665979781-0.414810847726077i,-0.952498131052595,0.304544430816448,-17,1.62043364608752,42.2381631106024,SSp-m
257,504,-1.24117191937415,0.32368767906299-0.946163984953356i,-0.59171524821202,0.806147049261726,-53,0.193131288108179,162.607265244845,SSp-m
231,421,-1.67782379984427,-0.106823258903709-0.994278025180679i,-0.973560630131978,0.228428762324331,-12,0.106639126700967,97.0723615550015,SSp-m
293,446,-1.09885015310942,0.454620573351053-0.890685204932674i,-0.612741020273739,0.790283773130828,-51,1.25760284760943,169.252562353458,SSp-m
290,447,-1.11985989755752,0.43580854827079-0.900039393167936i,-0.871669933272298,0.490093386436776,-28,1.09156632618921,145.183474002668,SSp-m
196,487,-2.28833766733604,-0.657534246575342-0.753424657534247i,-0.981152318638184,0.193235937731354,-10,0.307461210555865,60.0295999371984,SSp-m
197,496,-2.36694676398345,-0.714668765993523-0.699463047568129i,0.95708839398547,0.28979614576166,18,0.528066645553116,152.461811870839,SSp-m
226,400,-1.69688442185949,-0.125754264752633-0.992061421937435i,0.634698481956243,0.772759883147696,52,0.488831668437733,147.826690670402,SSp-m
236,462,-1.67046497928606,-0.0995037190209989-0.995037190209989i,-0.774469629029308,-0.632611091991917,40,0.46188567610294,45.0463788933364,SSp-m
255,410,-1.48765509490646,0.08304547985374-0.99654575824488i,0.633102356170767,0.774068089131068,52,0.677737412035507,135.956976865732,SSp-m
239,485,-1.65829166759729,-0.0873837477148442-0.996174723949222i,0.601974448060663,0.79851534980992,54,1.18543811443346,148.001675418668,SSp-m
201,491,-2.27129269674262,-0.644597252536441-0.764522322775779i,-0.895901020805439,-0.444253712330884,27,0.602315045390072,23.4889130585583,SSp-m
195,493,-2.35619449019234,-0.707106781186547-0.707106781186548i,-0.911464569162783,-0.411378583741183,25,0.31491025192975,20.7085352612593,SSp-m
248,457,-1.52377219495215,0.0470068032581242-0.998894569235138i,-0.422778828623532,-0.90623289615182,66,1.31927008332932,27.7044355706269,SSp-m
231,461,-1.72993305259359,-0.158465899510204-0.987364450794347i,-0.556243376746382,0.831019437694319,-55,0.269532715270902,137.085738994808,SSp-m
253,487,-1.40859749333151,0.161488568110541-0.98687458289775i,0.682146535423129,0.73121549779133,48,0.998748571900995,127.69508193588,SSp-m
201,501,-2.37999951637741,-0.723737544966637-0.69007533357284i,0.170390919728977,-0.985376544511748,-79,0.393081322522421,56.1744762576,SSp-m
