id_all,session_all,label_all,outcome_all,spirals
1,1,1,1,1.91140776699029
1,2,1,1,0.767543859649123
1,3,1,1,0.523767605633803
1,4,1,1,1.45376175548589
1,5,1,1,1.49147727272727
1,6,1,1,0.918124006359301
1,7,1,1,0.867117117117117
1,8,1,1,0.74375
1,9,1,1,1.02699530516432
1,10,1,1,1.71143250688705
2,1,1,1,1.34395424836601
2,2,1,1,0.476762820512821
2,3,1,1,1.48936170212766
2,4,1,1,0.92741935483871
2,5,1,1,0.795454545454545
3,1,1,1,1.02147577092511
3,2,1,1,1.48129921259843
3,3,1,1,1.18767313019391
3,4,1,1,1.01282816229117
3,5,1,1,1.01844262295082
3,6,1,1,0.986111111111111
3,7,1,1,0.949835526315789
3,8,1,1,0.981707317073171
3,9,1,1,1.10759493670886
4,1,1,1,0.778601694915254
4,2,1,1,1.3125
4,3,1,1,1.02022058823529
4,4,1,1,1.72216699801193
4,5,1,1,0.638020833333333
4,6,1,1,0.588662790697674
4,7,1,1,1.09375
4,8,1,1,1.45833333333333
4,9,1,1,0.875
4,10,1,1,1.15918803418803
4,11,1,1,0.743122009569378
1,1,1,2,1.11111111111111
1,2,1,2,0.729166666666667
1,3,1,2,0.405092592592593
1,4,1,2,1.484375
1,5,1,2,0.925480769230769
1,6,1,2,1.17788461538462
1,7,1,2,0
1,8,1,2,0.388888888888889
1,9,1,2,1.203125
1,10,1,2,1.9140625
2,1,1,2,1.26644736842105
2,2,1,2,0.465425531914894
2,3,1,2,0
2,4,1,2,0.194444444444444
2,5,1,2,3.5
3,1,1,2,0.605769230769231
3,2,1,2,4.77272727272727
3,3,1,2,1.68269230769231
3,4,1,2,0.702160493827161
3,5,1,2,0.9375
3,6,1,2,0.714285714285714
3,7,1,2,0.625
3,8,1,2,1.5625
3,9,1,2,0.564516129032258
4,1,1,2,1.33152173913043
4,2,1,2,3.16810344827586
4,3,1,2,0.932377049180328
4,4,1,2,1.29401408450704
4,5,1,2,0.194444444444444
4,6,1,2,0.651595744680851
4,7,1,2,1.484375
4,8,1,2,1.6625
4,9,1,2,0.533536585365854
4,10,1,2,1.9589552238806
4,11,1,2,1.60416666666667
1,1,1,3,1.41891891891892
1,2,1,3,0.729166666666667
1,3,1,3,0.265151515151515
1,4,1,3,1.3125
1,5,1,3,1.75
1,6,1,3,0.460526315789474
1,7,1,3,NaN
1,8,1,3,1.09375
1,9,1,3,4.375
1,10,1,3,1.59090909090909
2,1,1,3,1.02941176470588
2,2,1,3,1.75
2,3,1,3,0.729166666666667
2,4,1,3,1.42441860465116
2,5,1,3,1.640625
3,1,1,3,0.460526315789474
3,2,1,3,0.857843137254902
3,3,1,3,2.09239130434783
3,4,1,3,2.25806451612903
3,5,1,3,1.68269230769231
3,6,1,3,0.891203703703704
3,7,1,3,0.911458333333333
3,8,1,3,2.1875
3,9,1,3,4.86111111111111
4,1,1,3,1.16666666666667
4,2,1,3,0.696022727272727
4,3,1,3,0.892857142857143
4,4,1,3,1.95588235294118
4,5,1,3,0.723140495867769
4,6,1,3,0.13671875
4,7,1,3,0.3125
4,8,1,3,1.67279411764706
4,9,1,3,1.09375
4,10,1,3,0.564516129032258
4,11,1,3,0
1,1,2,1,2.65473300970874
1,2,2,1,3.22368421052632
1,3,2,1,0.647007042253521
1,4,2,1,2.26293103448276
1,5,2,1,5.46875
1,6,2,1,2.74741653418124
1,7,2,1,3.50788288288288
1,8,2,1,3.80625
1,9,2,1,3.93339201877934
1,10,2,1,3.41081267217631
2,1,2,1,2.3733660130719
2,2,2,1,1.76682692307692
2,3,2,1,2.14095744680851
2,4,2,1,1.12903225806452
2,5,2,1,2.01515151515152
3,1,2,1,1.38766519823789
3,2,2,1,1.10236220472441
3,3,2,1,1.43005540166205
3,4,2,1,2.13007159904535
3,5,2,1,1.83606557377049
3,6,2,1,2.33333333333333
3,7,2,1,3.0078125
3,8,2,1,1.57926829268293
3,9,2,1,2.87974683544304
4,1,2,1,3.10513771186441
4,2,2,1,1.53716216216216
4,3,2,1,1.29595588235294
4,4,2,1,4.01838966202783
4,5,2,1,0.572916666666667
4,6,2,1,0.508720930232558
4,7,2,1,0.860042735042735
4,8,2,1,1.03298611111111
4,9,2,1,1.09139784946237
4,10,2,1,0.93482905982906
4,11,2,1,2.0933014354067
1,1,2,2,1.38888888888889
1,2,2,2,3.64583333333333
1,3,2,2,0.891203703703704
1,4,2,2,1.5625
1,5,2,2,4.79567307692308
1,6,2,2,2.69230769230769
1,7,2,2,1.98863636363636
1,8,2,2,2.13888888888889
1,9,2,2,4.046875
1,10,2,2,3.4453125
2,1,2,2,0.69078947368421
2,2,2,2,0.372340425531915
2,3,2,2,0
2,4,2,2,0.972222222222222
2,5,2,2,1.25
3,1,2,2,0.942307692307693
3,2,2,2,0.795454545454546
3,3,2,2,1.45833333333333
3,4,2,2,2.10648148148148
3,5,2,2,0.9375
3,6,2,2,1.16071428571429
3,7,2,2,1.77083333333333
3,8,2,2,4.84375
3,9,2,2,1.27016129032258
4,1,2,2,1.71195652173913
4,2,2,2,1.05603448275862
4,3,2,2,0.932377049180328
4,4,2,2,3.45070422535211
4,5,2,2,0.680555555555556
4,6,2,2,0.558510638297872
4,7,2,2,1.640625
4,8,2,2,2.0125
4,9,2,2,0.746951219512195
4,10,2,2,1.4365671641791
